img,title,category,url
https://www.kapruka.com/shops/specialGifts/productImages/1206355743250_elec00A171.jpg,Samsung Refrigerator(double Door) - RT 26,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A166&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1275288678046_RefrigeratorRA18.jpg,Samsung Single Door Refrigerator - RA19,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A389&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1512025692759_985.jpg,Sharp Non-stick Solplate Steam Iron (EI-S100(G-3),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1095&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1512114261234_Untitled.jpg,Smart TV LED JVC 43` (LT43N585 ),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1097&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1512022192134_16.jpg,Featherlight steam iron (gc1418/02),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1091&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1522213084032_2.JPG,RECHARGEABLE LANTERN (SF-4321EL),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1139&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1253615270531_WiproSteamIron.jpg,Wipro Steam Iron W-R6038,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A308&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1522560837323_4.jpg,JVC 48`` DIGITAL FHD LED TV (JVC LT-48N570),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1144&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511927176534_30.jpg,Sanford Kitchen Scale 5KG (SF-1511IKS),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1011&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1501489199066_12g.jpg,Sanford Single Door Refrigerator 90L-(SFÂ­1704RF),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A911&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511927553430_32.jpg,Sanford Kitchen Scale (SF-1516MKS),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1012&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1507285490860_nokia-5-2017-3d-model-max-obj-3ds-fbx.jpg,Nokia 5 (2017),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A936&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1213182658203_H9000PADSLModem.jpg,SMC - 4 Port Wired ADSL Router,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A215&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1213180949515_TranscendFlashDrives4GB.jpg,Transcend Flash Drive-4gb,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A209&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1339148752482_FAN_SL-SF1650T_zoom.jpg,Sisil Pedestal Fan - SL-SF1650T,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A439&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1515045055601_1.jpg,Dell Optiplex 3050-I5-4-1TB,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1099&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527830828276_39.jpg,Sanford Micro Phone (SF-7510MP),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1181&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1487398778285_1.jpg,Gaming Mouse (GAMING G302),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A708&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527829950610_38.jpg,Sanford Micro Phone (SF-7509MP),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1185&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1388569457755_103-main.jpg,Marlboro Speaker,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A517&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527826300750_34.jpg,Sanford Combo Light 3 In 1 Combo (SF-6156CLRLED),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1207&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527827978516_35.jpg,Sanford 2 In 1 Combo (SF-6165RLEDC),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1208&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1405005512879_5580.jpg,Philips 5.1 3D Blu-ray Home Theater (HTB-5580),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A551&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1508759955156_45.jpg,Lifestraw Steel,School Supplies,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=childrenP0259&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527828403923_36.jpg,Sanford Tower Fan (SF-6701TRF),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1202&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1508764363888_658325_ts.jpg,Lifestraw Mission Gravity Water Purifier,School Supplies,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=childrenP0260&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1509450702245__DSC9059_M.JPG,Red Ceramic Table Lamp,Household Items,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=household00227&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1509449982039__DSC9068_M.JPG,Brown Ceramic Table Lamp,Household Items,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=household00225&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1508759491992_11.jpg,Lifestraw Go 2 Stage Filtration,School Supplies,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=childrenP0258&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1509450955448__DSC9047_M.JPG,Ceramic Stone Table Lamp,Household Items,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=household00228&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1522563055214_7.jpg,Lg Bluethooth Home Theater (LG-LHD-647B),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1143&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1509957560479_30.JPG,Ceramic Table Lamp Blue,Household Items,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=household00231&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1508764947390_homepersonal.jpg,Lifestraw Home,Household Items,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=household00224&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1509450375066__DSC9071_M.JPG,Ash Ceramic Table Lamp,Household Items,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=household00226&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1519280637544_2.jpg,Samsung Galaxy J7 Pro,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1127&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1509940221150__DSC9498_M.JPG,Disney Frozen Table Lamp,Household Items,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=household00229&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1519285752892_5.jpg,Huawei GR3,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1128&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1509954529727__DSC9502_M.JPG,Disney Princess Table Lamp,Household Items,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=household00230&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1519284687001_4.jpg,Huawei Y3 (3G),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1129&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1515589342921_11.JPG,Nokia 3310 (2017),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1105&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1485510323138_p1m.jpg,Huawei GR5 (2017) 4G,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A686&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511927374311_31.jpg,Sanford Personal Scale (SF 1515FPS),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1013&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511935740840_49.jpg,LED Torch (SF-438SL),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1028&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511934088816_44.jpg,Sanford Bluetooth Stage Speakers (SF-2257PTS),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1024&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511956465613_102.jpg,Sharp AQUOS 40` (LC-40LE185M),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1067&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511935906450_51.jpg,Mini Camping Light (SF458MCL),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1030&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511935969880_50.jpg,Emergency Lantern (SF-453EL),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1029&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511929529123_38.jpg,Handheld Massager (SF-1931MSG),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1018&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511936844634_53.jpg,Color Camping Light (SF464CCL),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1032&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511939802425_61.jpg,3 Burner Gas Stove (SF5325GC),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1040&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1512114797905_2.jpg,Panasonic 32` (TH32D-310MK),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1098&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511937259329_54.jpg,Emergency Lantern (SF-469EL),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1033&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1396713333393_GCB8402.jpg,Singer gas burners/Ovens gcb8402,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A543&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511942679995_67.jpg,Sanford Bread Toaster (SF-5743BT),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1046&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511947487947_77.jpg,Ceramic Steam Iron,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1056&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1519644267118__DSC3432_M.JPG,Solar Energy Radio,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1124&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1409125152272_wmain.jpg,Black And Decker Vacum Cleaner,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A565&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1409109404415_TVmain.jpg,Samsung UHD Tv - 48 Inch,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A571&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1499081535956_4.jpg,SANFORD HAND MIXER SF-1333HM,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A862&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511937514872_55.jpg,Sanford Induction Cooker (SF-5169IC),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1034&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1499054790890_PWB000209941.jpg,SHARP Canister Vacuum Cleaner EC-LS20,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A819&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1499139215462_03-500x500.jpg,Sanford Hair Dryer SF-9684HD,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A869&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511947575431_78.jpg,Eramic Iron (SF-78CI),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1057&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511934417399_45.jpg,Radio With Usb And Sd Card (SF3305PR ),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1025&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1507286702792_nokia_3_16gb_dual_sim_matte_black_1.jpg,Nokia 3,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A937&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527747582747_4.jpg,Panasonic 32`` Led TV (TH32E310M),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1169&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527748039367_5.jpg,Samsung 32`` Led TV (UA32-J4000DKXXM),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1171&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527832710572_45.jpg,Sanford Rechargeble Fan (SF-969RTF),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1172&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527749035866_7.jpg,Samsung 40`` Fhd Led TV (UA40-M5000AKXZN),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1173&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527749874928_7.jpg,Samsung 55` Fhd Smart Led TV (UA-55H6400AK),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1175&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527751029163_8.jpg,Sharp Vacuum Cleaner 20L (EC-CA1820-Z),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1177&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527831876698_42.jpg,Sanford Vacuum Cleaner (SF-899VC),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1178&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527831577651_41.jpg,Sanford Rechargeable Air Cooler (SF8125RAC),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1179&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527831353417_40.jpg,Sanford Portable Air Cooler (SF-8108PAC),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1180&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527828925876_37.jpg,Sanford Tower Fan (SF-6702TRF),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1182&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527751253241_9.jpg,Sharp Vacuum Cleaner 22L (EC-CA2121-Z),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1187&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527764380188_22.jpg,Sanford Sound Mini Hifi System (trolly) (SF2269RTS),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1184&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1499140987264_01-500x500.jpg,Sanford Rechargeable Table Fan With Light (sf-962rtf ),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A873&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527760777130_19.jpg,Sanford Sound Mini Hifi System (trolly) (SF-2262RTS),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1195&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1499145939172_26.jpg,LG HOME THEATER (LG-LHD427),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A893&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527766271724_26.jpg,Sanford Portable Radio (SF-3307PR),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1200&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1339746464371_sin_swm-fa70r_zoom.jpg,Singer Fullly Auto Washing Machine SWM-FA70R,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A454&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1508060457510_sf2116bht_s.jpg,Sanford Bluetooth Home Theatre-sf2116bht,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A945&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1508061853351_JVC-LT-55N775.jpg,JVC 55`` 4K Digital Smart TV(JVC-LT-55N775),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A946&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1508322954063_111.jpg,TOSHIBA 32`` LED TV-(32-S1700EE),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A952&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1508159786513_pp.jpg,PHILIPS 32`` LED TV -(PHI-32PHA3052/71),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A954&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1508159446152_02-500x500.jpg,Sony 32`` HD LED TV (SONY-KLV-32-R302D),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A960&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511858672641_6.jpg,Jvc 65 inch 4k/Uhd smart led tv (lt65n885),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A990&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511861314173_4.jpg,JVC 43` DIGITAL FHD LED TV (LT43N550),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A991&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511866394906_11.jpg,DVD Home Theater Speaker System (LHD457),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A996&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511868457382_13.jpg,LG DVD Home Theater (LHD657),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A998&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511871344178_17.jpg,Philips (hd-1172/01),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1001&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511924535576_27.jpg,Sanford Stand Mixer (SF-1356SM),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1008&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511924206369_24.jpg,Sanford 0.6 Liters Rice Cooker (SF1157RC),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1005&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511924289938_25.jpg,Sanford-hand Mixer-(sf-1330-hm),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1006&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511926350917_28.jpg,Sanford Multi Function Stand Mixer (SF1366SM),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1009&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1522563631292_9.jpg,Steam iron (phi-gc-1418/02),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1146&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1522564102760_10.jpg,Philips steam iron (phi-gc-1418/42),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1147&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1511926982704_29.jpg,Sanford Coffee Maker (SF-1392CM),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1010&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1522570863057_18.jpg,Sanford Mini Hifi Systems (SF-2258PTS),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1150&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1522566776261_13.jpg,Sanford Personal Scale (SF-1502PS),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1149&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527745693199_1.jpg,Innovex 2d Bluray Player (IBP003),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1164&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1526023433470_DSC_8388_M.JPG,LED Flickering Lantern,Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1161&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527760367864_18.jpg,Sanford Rechargeable Trolley Speakers (SF-2261RTS),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1194&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527746451512_3.jpg,Panasonic Vaccum Cleaner 1.4l (MC-CG370),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1168&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527746236683_2.jpg,LG 32`` LED TV (LG-32-LJ520U),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1165&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1499146283448_27.jpg,JVC DVD PLAYER (JVC-XV-Y225),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A894&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1527761177583_20.jpg,Sanford Sound Mini Hifi System (trolly) (SF-2267RPS),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A1196&type=specialGifts
https://www.kapruka.com/shops/specialGifts/productImages/1499078886811_424-0374_PI_TPS1698179.jpg,JVC 32` LED HD TV (LT-32N355P ),Electronics,https://www.kapruka.com/shops/deliveryProductPreview.jsp?id=elec00A886&type=specialGifts
